	SID010101	SID010102	SID010104	SID010201	SID010202	SID010204	SID010301	SID010302	SID010304	SID010401	SID010402	SID010404	SID01A_000	SID01A_006	SID01A_220	SID01B_000	SID01B_007	SID01B_221	SID01C_235	SID01C_566	SID01D_013	SID01D_190	SID01D_570	SID01E_000	SID01E_015	SID01E_191	SID01F_239	SID01F_573	SID01G_000	SID01G_005	SID01G_234	SID01H_011	SID01H_202	SID01H_568	SID01I_012	SID01I_569	SID01J_010	SID01J_173	SID020101	SID020102	SID020104	SID020201	SID020202	SID020204	SID020301	SID020302	SID020304	SID02A_561	SID02B_552	SID02C_553	SID030101	SID030102	SID030104	SID030201	SID030202	SID030204	SID030301	SID030502	SID030504	SID030601	SID030602	SID030604	SID030701	SID030702	SID030704	SID03A_000	SID03B_000	SID03C_000	SID03D_000	SID03E_000	SID03F_000	SID03G_000	SID040101	SID040104	SID040201	SID040202	SID040203	SID040204	SID040301	SID040303	SID040304	SID04B_564	SID04C_565	SID04D_562	SID04E_563	SID05A_000	SID05B_000	SID05C_000	SID05D_000	SID060101	SID060102	SID060201	SID060202	SID060301	SID060302	SID060401	SID060402	SID060502	SID060601	SID060602	SID07A_558	SID07C_541	SID07D_542	SID07E_559	SID080101	SID080102	SID080104	SID080301	SID080302	SID080304	SID08A_000	SID08A_022	SID08A_236	SID08B_044	SID08C_021	SID08D_079	SID08D_257	SID08D_572	SID08E_000	SID08E_041	SID08E_160	SID08F_000	SID08F_040	SID08G_000	SID08G_023	SID08H_000	SID08H_008	SID08I_009	SID08I_170	SID08I_545	SID08J_078	SID08K_032	SID08K_237	SID08K_560	SID090101	SID090102	SID090201	SID09A_515	SID09B_516	SID09C_517	SID09D_518	SID09E_519	SID100201	SID100202	SID100204	SID100301	SID100302	SID100304	SID100401	SID100402	SID100404	SID140101	SID140102	SID140104	SID140201	SID140202	SID140301	SID140302	SID140304	SID190101	SID190104	SID210101	SID210102	SID210104	SID210201	SID210204	SID210301	SID210302	SID210304	SID210401	SID210402	SID210404	SID240101	SID240102	SID240104	SID240201	SID240202	SID240301	SID240302	SID240304	SID240401	SID240402	SID250101	SID250102	SID250104	SID250301	SID250501	SID250502	SID250701	SID250702	SID250704
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_471	0.16076	0.41897	0.05057	0.22852	0.23438	0.07889	0.08026	0.35539	0.2763	0.06225	0.30221	0.26016	0	0	0	0.08663	0	0.28791	0.28244	0.04395	0	0.50017	0.17045	0.03429	0	0	0	0.00097	0	0	0	0	0	0.22998	0	0.008	0	0	0.12369	0.44692	0.0392	0.32986	0.22955	0.05833	0.08996	0.30827	0.24881	0.00808	0.33468	0.29744	0	0.05188	0.2966	0	0.39513	0.00544	0	0	0	0	0.25065	0.23976	0	0.16989	0.04452	0	0.03627	0	0	0	0.01308	0	0	0	0	0	0	0	0	0.05129	0	0.02108	0.03348	0.38931	0.16878	0.04714	0	0	0	0	0	0.10952	0.18118	0	0	0	0	0	0.03842	0	0.04768	0	0	0.16755	0.04576	0.01831	0.7933	0.00147	0	0.31275	0.01436	0	0.41687	0	0	0	0	0	0	0	0.31633	0	0	0	0	0	0	0	0.42538	0	0	0	1.77542	0.00882	0.33477	0.17448	0.05064	0.38729	0.0074	0.00532	0.0351	0.04315	0.11791	0	0.03077	0.06744	0.011	0.64201	0.1149	0.10006	0.22295	0.03788	0.01663	0.12276	0.9046	2.66281	0.26626	0	0	0.14063	0.13612	0.07925	0.20568	0.10922	0.03234	0.04418	0.1969	0.62621	1.88443	0.10479	0.01378	0	0.1393	0.01649	0.07652	0.10804	0.0124	0	0	0.07609	0	0	0.25316	0.09284	0	0.0156	0.06432	0.0841	0	0	0.04279
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	0.15661	0.30175	0.11939	0.17267	0.3138	0.1374	0.02227	0.05076	0.14856	0	0	0	0	0	0	0.08076	0	0	0	0.80929	0	0	0.51813	1.42721	0	0.25997	0	0.25648	0.0983	0	0	0	0.3882	0.20496	0	1.16313	0	0	0.23668	0.28572	0.11726	0.24784	0.24874	0.18264	0.01882	0.05346	0.16218	0	0.32847	0	0	0	0	0	0	0	0	0.12285	0	0	0	0	0	0.23966	0.01202	0.56843	0.42397	0.08417	0.29099	0.46535	0	0	0	0	0	0	0	0	0	0	0	0.37783	0.58476	1.3644	1.41252	0.01489	1.32373	0.44627	0	0	0	0.1	0	0	0	0	0	0	0	0.17317	0.66663	1.04242	0.32237	0.08435	0	0	0	0	0	0	0.4782	0.24722	0.31984	0.12892	0.02572	0	0	0.83734	0.5789	0	1.0171	0.36271	0	0.74043	0	0	0	0	0.17144	0	0	0	0	0.4212	0.06221	0.19981	0.04802	0	0.73501	0.88077	2.07607	1.35131	0.12529	0	0	0	0	0	0	0	0.00991	0	0	0.03666	0.12086	0.28575	0	0	0	0.03659	0	0	0.00923	0	0.0052	0	0.04835	0.09334	0.29889	0	0.00739	0	0.01685	0	0	0.05589	0.00199	0	0	0.02488	0	0	0	0	0	0	0	0.03528	0	0.0088	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_238	0.15276	0.18656	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01123	0	0	0.26601	0.27741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13807	0.01944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03632	0.00417	0.1922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01706	0	0.00755	0	0	0	0.14003	0	0	0	0.24451	0	0	0	0	0	0	0	0.00357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_534	0.14176	0.14525	0.19343	0.14011	0	0.08181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00138	0	0	0.21292	0.17696	0.16157	0.18833	0	0.06686	0	0	0	0	0	0	0	0	0	0	0	0.00865	0	0	0.04932	0	0.01006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04412	0	0	0	0	0	0	0	0.14328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03051	0	0	0	0	0	0.0581	0	0	0	0	0	0.05301	0	0	0	0	0	0	0.30354	0	0	0	0	0	0	1.43441	0.92636	0	0	0	0	0	0	0	0	0	0	1.0331	0.4211	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	0.13977	0.20017	1.18613	3.81873	7.34563	3.90721	2.63406	3.49802	0.30776	8.83012	12.71468	6.99165	0	0	0.92839	4.12403	0.32969	7.31796	5.74847	0.19903	0	12.30454	2.97775	0.39479	0.09955	0.22953	0.07351	0	0.00056	0	0	0.14894	0.06383	0.01749	0	0.21086	0	0	0.15265	0.1594	1.2554	2.90731	8.06699	4.06627	2.48728	3.06747	0.21935	0.21163	0.0861	0.02083	1.16201	8.89024	13.22052	1.46409	5.69741	4.16263	0.90657	1.4644	5.33571	3.17319	5.54797	3.61767	0.78011	2.59022	12.03801	0	0.45914	0.7547	0.25975	0.08475	0	0	2.45262	3.27989	5.12001	3.36148	0.54804	6.12799	6.52444	2.13702	4.52928	0.09741	1.191	0.11024	0.0954	1.21515	0.44785	0.0063	0.04817	0.41069	5.0483	4.76635	4.02105	3.66208	1.72082	0.7665	2.81671	1.89629	8.63964	1.4929	1.1076	0.07318	0	0.00842	0.7897	2.56816	0.83119	3.87276	5.40485	5.26702	0.65617	0.11888	9.15515	0.12288	11.4987	0	0.39281	0.07829	0.1155	0	3.68636	0.04719	0	0.08184	0	0	0	0.07756	0.24933	0.2165	1.5184	0	2.79565	0.08218	3.85125	2.99693	11.08815	0.01846	0.00962	0.06662	0	0.00997	4.37762	2.88118	7.46084	0.79247	2.43948	0.79836	0.76434	2.83388	4.53909	0.37562	0.15032	2.50711	0.57482	0.36513	0.06252	0.03008	1.44125	6.92653	2.78637	2.94505	4.13637	0.97162	0.12465	5.01274	2.02248	0.9498	0.43408	0.03681	0.06281	0.86187	7.4836	6.18234	4.59059	1.33353	0.12457	0.26758	4.0575	4.81391	0	0.46052	0.21002	10.93666	9.86556	5.29751	4.98368	1.43743	0.09082	0.34609	4.01802
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Clostridiales_unclassified|s__Bacteroides_pectinophilus	0.12238	0.02372	0	0	0	0	0.04725	0	0.60697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04977	0	0	0.21009	0.03938	0	0	0	0	0.05306	0	0.68238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15265	0	3.13781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36422	3.35788	0.01254	0	0	0	0	0	0	0	0	0	0	0.0374	0.05283	0	0.03406	0	0.06848	0	0	0	0	0	0	0.02048	0.25929	0	0.06528	0	0.13518	0	0	0	0	0	0	0	0	0	0.02436	0	0	0	0	0	0	0	0	0	0	0	0.00568	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis	0.11874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00272	0	0	0.01615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00526	0	0	0	0	0	0	0	0	0	0	0	0	0.12535	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantarius	0.10458	0.24224	0	0	0.0482	0	0.45159	0.12188	0	0.41287	1.44009	0.03955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07396	0.33998	0	0	0.0486	0	0.56408	0.10592	0	0	0	0	0	0.50067	1.25389	0	0.08055	0	0	0	0.17186	1.26469	0.26375	0	0.04447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56448	0	0.9475	0	0	0	0	0	0	0	4.95471	0	0.14549	0.2143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11352	0	0	5.36327	4.71773	0	0.84785	0	0	0	0	0.07872	0.53778	0	0	0.04935	3.30021	0	0.83334	0	0	0	0	0	0.04517	0.18969	0	0	0.00763	0.54608	0	0	0.06446	0	0.06943	0	0	0	0.55246	0.06217	0	0.34173	0	0	0.05798	0	0.04516
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii	0.09981	0.22406	0.19171	0.54435	0.48593	1.25255	0.14044	0.42335	0.58625	0.09791	0.12842	0.95838	0	0	0.85879	0.01882	0	1.92028	0.10285	0.00737	0.00259	1.42219	0.02986	0.06376	0	1.03817	1.20594	0.01084	0	0	0	0.0219	0.26717	0	0	0.01579	0	0	0.15793	0.23665	0.16108	0.49615	0.53552	1.24123	0.15928	0.39983	0.54044	0	0	0.09737	0	0.06128	0.13687	0	0.98253	0.4269	0	0.01189	0.60959	0.16416	0.74452	0.67717	0	0.4838	0.47888	0	0.00362	0	0	0	0	0	0	0	0	0	0.02434	0	0	0.17175	0	0	0	0	0.04042	0.00892	0.03104	0	0	0	0	0.83247	0.34436	0.27882	0	0	0.10793	0.1056	0.32511	0.01962	0.00716	0.00148	0	0	0.24484	0.39999	0.29966	0.40498	0.62637	0.65074	0	0	0.85271	0	0.10633	0	1.58536	0	0	0	0.61906	0	0	0	0	0	0	0	1.03654	0	0	0	0.19039	0	0.66661	0.48156	0.47164	0.19231	0.0105	0	0	0.02076	0.73512	0.25948	0.25693	0.26645	0.42231	0.30141	0.5062	0.29148	0.25991	0.60524	0.90116	0.46489	0.2086	0.35438	0.07882	0.05241	0.61406	0.17311	0.52713	0.29442	0.30805	0.54785	0.71795	0.29458	0.45809	0.32572	0.43922	0.03973	0.04409	0.73579	0.15734	0.12814	0.23699	0.24836	0.05485	0.13043	0.36668	0.27294	0	0.30301	0.17749	0.09872	0.15718	0.14532	0.21519	0.30152	0.01199	0.15624	0.35978
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_formicilis	0.09427	0.28533	0.17061	0.60011	0.90799	0.65237	0.13171	0.23328	0.34804	0.21572	0.51696	0.64333	0.04666	0.02136	0	0.41807	0.06202	0.00542	0.00414	0.10539	0	0.48536	0.38288	0.23691	0	0.06437	0	0.01309	0	0	0	0.00069	0.00516	0.09533	0	0.34392	0	0	0.08131	0.28601	0.18694	0.55846	0.85549	0.6801	0.19014	0.24038	0.29698	0.44978	0.3269	0.0134	0.05956	0.20249	0.5273	0.75752	0.68614	0.60915	0.76194	0.14246	0.45621	0.37642	1.071	1.16339	0	0.47242	0.21085	0.03735	0.37154	1.06606	0.30527	0.47195	0.30297	0.23467	0.18618	0.6087	0.66835	0	1.64666	0.55578	0.01263	0.36188	0	0.0513	0.05494	0.07979	0.07148	0.27172	0.27372	0	0.36532	2.42307	0.0534	0.28533	0.2217	0.38691	0.96202	0.48786	0.42185	0.68437	0.28274	0	0.33462	0.10282	0	0.12048	0.5928	0.72684	2.68058	0.53956	0.47244	1.11836	0.31836	0.00264	0.05301	0	0	0	0.05234	0.27357	0.59611	0	0.14139	0.1847	0	0.31754	0	0.07433	0	0.30218	0.35446	0.34699	0	0.22604	1.22646	0.35182	1.03155	0.53174	0.26243	0.00526	0.03493	0.05369	0.05249	0.02752	0.40188	0.42106	0.1837	0.53793	0.75924	2.39869	0.33157	0.35114	0.42264	0.09203	0.14666	0.30682	0.41518	0.42622	0.15697	0.0105	0.57475	0.26027	0.55825	0.28966	0.35211	0.19524	0.1012	0.27617	0.38599	0.50397	0.48554	0.05059	0.02616	0.44542	0.24255	0.14809	0.08871	0.10145	0.03992	0.04656	0.34126	0.25229	0	0.30339	0.48232	0.43452	0.19846	0.14563	0.06916	0.08453	0.00421	0.06243	0.387
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis	0.08874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sp_HMSC71H05	0.08543	0	0	0	0	0	0	0	0.01395	0.04811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00165	0.05627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03418	0	0	0	0.05107	0	0.01362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1379	0	0.08492	0.01744	0.03928	0.01505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13831	0	0.07196	0.00317	0	0	0.00578	0.02123	0	0	0	0	0	0	0.09729	0.01706	0	0	0	0.05128	0	0	0	0.00962	0	0	0	0.20003	0.08862	0.75976	0.00985	0	0	0	0	0	0	0	0	0.02224	0.12759	0.55148	0.02039	0.09015	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_167	0.08348	0.05889	0.09819	0.02131	0.07185	0	0.17145	0.07319	0.14301	0	0.06047	0.04006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15114	0.08949	0.17949	0.05346	0.05402	0.01575	0.2344	0.09491	0.13448	0	0	0	0	0	0.04524	0	0.03039	0.06481	0	0	0.00867	0	0.15052	0.22602	0	0.02981	0.01725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11336	0	0	0	0	0	0	0.01163	0	0	0	0	0	0.18191	0.01586	0.03979	0.09057	0.01426	0.15359	0	0	0	0	0	0	0.00126	0	0	0	0	0	0	0	0	0	0	0	0.05434	0	0	0	0	0	0.32192	0.02746	0.04474	0	0	0	0	0	0.11858	0	0	0.23292	0.11392	0.06162	0.04134	0.04528	0	0	0	0.11769	0	0	0	0	0.0421	0	0.05914	0.06701	0.00193	0	0	0	0.15728	0.05974	0.04632	0	0.00343	0.00164	0	0	0.09078	0.06738	0	0.02666	0.04745	0	0	0.14467	0	0	0.02339	0.02864	0.09528	0.05918	0	0.04113	0.0499
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_182	0.0724	0.03997	0.1269	0.01855	0.01829	1.59156	0.02385	0.0627	0.16687	0	0	0.0546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03454	0	0	0	0	0	0	0	0	0	0	0.12271	0.01763	0.12979	0.09414	0.01005	1.49793	0.01382	0.0853	0.18743	0.23625	0.22573	0.06007	0	0	0	0	0.0705	0	0	0.01424	0.02589	0	0.02367	0	0	0	0	0	0.01492	0.13792	0.03353	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01832	0.04042	0	0	0	0	0	0	0	0	0	0.00523	0	0	0	0.0344	0	0.01183	0	0	0	0	0	0.09325	0.01705	0	0.0254	0.01925	0	0	0.3633	0	0	0	0	0	0	0	0.02893	0	0	0	0	0	0	0	0.71496	0	0	0	0	0.00483	0	0	0	0.04458	0	0.02455	0	0	0	0.01689	0	0	0.04431	0.02856	0.28114	0.0548	0.05759	0	0.09413	0.448	0.10567	0.05016	0	0	0	0.24752	0.3034	0.0439	0.1085	0	0.21295	0.03501	0.57186	0.21365	0.19343	0	0	0	0.21083	0.16612	0	0.00511	0	0	0.02033	0.01771	0	0	0	0	0	0.36576	0	0	0	0	0.04532
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	0.07219	0	0	0	0	0	0	0	0.045	0.14854	0.13108	0.18939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00405	0.03105	0	0	0	0	0	0.03893	0	0.03153	0	0	0	0	0.12393	0.06526	0	0.14934	0	0	0	0.01618	0	0.03726	0	0	0.00736	0.01161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0.0973	0	0.22011	0	0	0.05033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05443	0	0.07869	0	0.00616	0	0	0	0	0	0	0	0.12056	0.12477	0	0.23243	0	0	0.06981	0.01492	0.01121	0	0	0	0	0	0	0.10274	0	0	0.05727	0.08124	0.00568	0	0.0232	0	0.02543	0.00565	0	0	0.07955	0.15649	0.41408	0.02449	0.12322	0.01038	0	0	0	0	0.16034	0.11465	0.0275	0.1235	0.38244	0.01705	0.12138	0.01595	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_95	0.07166	0.03452	0.08927	0.05902	0.06194	0.10907	0	0	0.11617	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07771	0.0254	0.08075	0.05268	0.06443	0.12652	0	0	0.1751	0	0	0	0	0	0.00294	0	0	0	0	0	0	0	0.03212	0	0	0.01363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11354	0.08084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05141	0	0	0.00453	0	0	0	0.00824	0	0	0	0.11351	0	0	0	0	0	0	0	0.09189	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12436	0	0	0	0	0	0	0.00373	0	0	0	0	0	0.07562	0	0	0	0	0	0.04275	0	0	0	0	0	0.00274	0.22438	0	0	0	0	0	0	0.14498	0.2636	0	0	0	0	0	0	0	0	0	0	0.11213	0.09944	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens	0.07005	0.32742	0.09439	0.5807	0.13908	0.09687	0.13866	0.05119	0.90481	0.26629	0.08929	0.26975	0	0	2.95177	0.08814	0	0	0	0	0	1.30285	0	0.00437	0	0.08377	0	0	0	0	0	0	0	0	0	0	0	0.31531	0.11479	0.30904	0.06557	0.4408	0.14237	0.09894	0.15016	0.06601	0.93114	0	0	0	0	0.28324	0.0519	0	0.17563	0.84952	0.07782	0.56444	0.5354	0.10783	1.04384	0.136	0	0.2129	0.57561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15636	0	0	0	0	0	0.0421	0	0	0	0	0.08559	0.27158	0.17401	0.48385	0.00571	0.14645	0.05107	0.1395	0.03746	0.44708	0	0	0	0	0.94187	0.98888	0.05439	1.13413	0.53859	1.1383	0	0	0.00513	0	0	0	0	0	0	0	0.0579	0	0	0	0	0	0	0	0.18756	0	0	0	0.02887	0	0.08401	0.19757	0.62656	0	0	0	0	0	0.28203	0.47852	0.03958	1.008	1.19529	0.05191	1.32153	0.86391	0.04403	0.26667	1.16606	0.0563	0.10151	0.65369	0.10558	0.08164	0	0.38614	1.50963	0.89424	0.03237	0.74115	1.00331	0.67626	0.07158	0.11755	0.35513	0.05174	0.07536	0.01548	0.38025	0	0.99364	0.10395	0	0	0.08854	0.65594	0	0.11361	0.04479	0.17105	0.08813	0	1.0111	0.12356	0	0	0.09401
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans	0.06363	0.09506	0.0199	0.36897	0.1462	0.08186	0.7983	0.32179	0	0	0.19191	0	0	0	0	0	0	0.49193	0	0	0	0	0	0	0	0.16404	0	0	0	0	0	0	0.11746	0	0	0.03975	0	0	0.05661	0.11917	0.01539	0.37198	0.1632	0.16313	0.74195	0.40095	0	0	0	0	0	0	0.16208	0	0	0	0	0	0	0	0.55145	0.34229	0	0	0	0	0	0.00845	0.00838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00445	0	0	0	0	0	0	0.01039	0	0.21599	0	0	0	0	0	0	0	0	0	0	0.12105	0	0	0	0	0.62484	0	0	0	0	0	0	0.01408	0	0	0	0	0	0	0	0	0	0	0	0.00406	0	0	0	0.04621	0	0.3671	0	0	0	0	0	0	0	0.03004	0.18361	0	0.12558	0	0.01045	0.03521	0	0	0	0	0.00644	0	0	0	0	0	0	0.03606	0.00972	0	0.02255	0	0.514	0.03781	0	0.00567	0	0	0	0	0	0.00773	0.00276	0	0	0	0.39302	0	0	0	0	0	0	0.01806	0.01382	0	0	0.00168
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_obeum_CAG_39	0.06126	0	0.04953	0	0	0	0.06525	0	0	0	0	0	0	0	0	0	0	0	0	0.00712	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00615	0	0	0	0	0.10059	0.05032	0	0	0	0.18857	0	0	0	0	0	0	0	0	0	0.0161	0	0	0	0	0	0	0	0	0	0	0.06291	0	0	0.01883	0	0	0	0	0	0	0	0	0	0	0.05606	0	0	0	0	0	0.02119	0.00683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03771	0	0	0.03528	0	0	0	0	0	0	0	0.12612	0	0	0.14237	0.03249	0	0	0	0	0	0	0	0	0	0.03027	0	0.01416	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_964	0.05897	0.52441	0.0693	0	0	0	0	0	0.07777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05786	0.49148	0.04788	0	0	0	0	0	0.09311	0	0	0	0	0	0	0	0	0	0	0.18184	0	0	0	0	0	0.18142	0	0	0	0	0	0	0	0	0	0	0	0	3.05671	0	0	0	0	0	0	0	0	0	0	0	0	2.72535	0	0	0	0	0	0	0	0	0	0.13282	0	0	0	0	0	0	0.2899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09656	0	0	0	0	0	0	0	0	0	0	0	0.39017	0	0	0	0	0	0	0	0.15592	0	0	0	0	0	0	0	0	0	0	0	0	0.0975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
